Nombre empleado,Sueldo Base,Descuento Salud,Descuento AFP,Sueldo Líquido
Juan Pérez,981985,68738.95000000001,117838.2,795407.8500000001
María García,1151807,80626.49,138216.84,932963.67
Pedro Soto,2104207,147294.49000000002,252504.84,1704407.67
Isabel Gómez,584378,40906.46000000001,70125.36,473346.18000000005
Miguel Sánchez,563270,39428.9,67592.4,456248.69999999995
Ana López,2560747,179252.29,307289.64,2074205.0699999998
Luis Fernández,2278628,159503.96000000002,273435.36,1845688.6800000002
Carmen Ruiz,2947846,206349.22000000003,353741.51999999996,2387755.26
Raúl González,634322,44402.54,76118.64,513800.81999999995
Laura Martínez,2897949,202856.43000000002,347753.88,2347338.69
